Tag,COVID
2021-05-15,30
2021-05-16,27
2021-05-17,33
2021-05-18,33
2021-05-19,31
2021-05-20,30
2021-05-21,26
2021-05-22,25
2021-05-23,23
2021-05-24,28
2021-05-25,28
2021-05-26,25
2021-05-27,25
2021-05-28,24
2021-05-29,20
2021-05-30,20
2021-05-31,21
2021-06-01,24
2021-06-02,25
2021-06-03,23
2021-06-04,23
2021-06-05,20
2021-06-06,20
2021-06-07,21
2021-06-08,22
2021-06-09,22
2021-06-10,22
2021-06-11,22
2021-06-12,19
2021-06-13,18
2021-06-14,22
2021-06-15,23
2021-06-16,22
2021-06-17,20
2021-06-18,20
2021-06-19,17
2021-06-20,17
2021-06-21,20
2021-06-22,21
2021-06-23,21
2021-06-24,20
2021-06-25,18
2021-06-26,17
2021-06-27,17
2021-06-28,21
2021-06-29,21
2021-06-30,21
2021-07-01,19
2021-07-02,19
2021-07-03,16
2021-07-04,16
2021-07-05,18
2021-07-06,21
2021-07-07,21
2021-07-08,23
2021-07-09,22
2021-07-10,20
2021-07-11,19
2021-07-12,23
2021-07-13,24
2021-07-14,26
2021-07-15,26
2021-07-16,30
2021-07-17,26
2021-07-18,25
2021-07-19,35
2021-07-20,36
2021-07-21,34
2021-07-22,39
2021-07-23,38
2021-07-24,35
2021-07-25,33
2021-07-26,42
2021-07-27,44
2021-07-28,49
2021-07-29,49
2021-07-30,48
2021-07-31,45
2021-08-01,45
2021-08-02,56
2021-08-03,59
2021-08-04,100
2021-08-05,72
2021-08-06,60
2021-08-07,51
2021-08-08,50
2021-08-09,62
2021-08-10,64
2021-08-11,61
2021-08-12,62
